questionId,sourceGroupIds,sourceId,recordKind,boundaryStatus,sourceFile,sourcePage,sourceBBox,questionImage,questionNumber,stem,options,answerKeySource,answerKeyPage,answerEvidence,correctAnswer,answerStatus,verificationMethod,publisher,grade,academicYear,semester,examType,questionType,coreConcept,commonTrap,publisherChapter,officialContentCodes,officialPerformanceCodes,candidateSkillIds,skillIds,alignmentStatus,alignmentConfidence,alignmentEvidence,includeDecision,reviewStatus
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q01,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q001"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q002"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q003"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q004"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q005"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q006""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,1,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-1.jpg,一-1,把答案相同的算式連起來。魚形卡：3+5、2+7、1+4、6+0；貓形卡：7+2、6+2、3+3、0+5。,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,1,各算式求和後兩兩配對：8↔8、9↔9、5↔5、6↔6，四組總和唯一對應，與答案卷連線一致。,3+5(8)—6+2(8)；2+7(9)—7+2(9)；1+4(5)—0+5(5)；6+0(6)—3+3(6),verified,independent_calculation,康軒,G1,109,上,期中1,,,,康軒 G1 上 第7章 10 以內的加法,"[""N-1-2"", ""N-1-3""]",[],"[""G1-06-03""]",[],partial,medium,"[""official N-1-2/N-1-3 加法和減法"", ""publisher ('康軒', 'G1', '上', 7)"", ""連連看配對雖含加法但屬遊戲化題型，非單一skill精確對應""]",uncertain_review,first_pass
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q02,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q001"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q002"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q003"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q004"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q005"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q006""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,1,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-1.jpg,一-2,多少和多少合起來是 10？（撲克牌對應：ㄅ=1、ㄆ=3、ㄇ=4、ㄈ=5；ㄉ=5、ㄊ=6、ㄋ=9、ㄌ=7）,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,1,裁圖確認各牌點數後，四組配對皆使兩數合計為10，且每張牌恰用一次，唯一解，與答案卷連線一致。,ㄅ(1)—ㄋ(9)；ㄆ(3)—ㄌ(7)；ㄇ(4)—ㄊ(6)；ㄈ(5)—ㄉ(5),verified,independent_calculation,康軒,G1,109,上,期中1,,,,康軒 G1 上 第4章 分與合,"[""N-1-2"", ""N-1-3""]",[],"[""G1-04-02"", ""G1-04-03""]","[""G1-04-02"", ""G1-04-03""]",direct,high,"[""official N-1-2/3 加減"", ""publisher ('康軒', 'G1', '上', 4)"", ""skill G1-04-02/03「2至5/6至10各數的分與合」對應10的配對湊十""]",include,first_pass
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q03,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q001"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q002"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q003"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q004"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q005"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q006""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,1,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-1.jpg,一-3,把圖形分類：螺旋形、波浪形（w）、水平短線、斜線，分別歸入「直線」或「曲線」。,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,1,螺旋與波浪形皆為彎曲線條，水平短線與斜線皆無彎曲，屬直線；分類具幾何定義上的唯一性，與答案卷連線一致。,螺旋形、波浪形→曲線；水平短線、斜線→直線,verified,independent_calculation,康軒,G1,109,上,期中1,,,,康軒 G1 上 第2章 比長短,"[""S-1-1""]",[],"[""G1-02-03""]","[""G1-02-03""]",direct,high,"[""official S-1-1 長度(同N-1-5)"", ""publisher ('康軒', 'G1', '上', 2)"", ""skill G1-02-03「認識點、直線和曲線」直接對應""]",include,first_pass
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q04,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q001"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q002"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q003"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q004"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q005"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q006""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,1,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-1.jpg,二-1,下面有 3 條繩子，由長到短填入 1、2、3。（繩子圖：①斜直線、②水平直線、③密集纏繞的捲繩）,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,1,③為多圈纏繞捲繩，攤直後所含繩材最長，故排名1（最長）；①斜直線次之為2；②水平直線最短為3。與答案卷紅字「2、3、1」一致（此為長度視覺判斷題，非算式可獨立驗算，已對照原圖與答案卷雙重確認）。,①=2、②=3、③=1,verified,visual_manual_required,康軒,G1,109,上,期中1,,,,康軒 G1 上 第2章 比長短,"[""S-1-1""]",[],"[""G1-02-01""]","[""G1-02-01""]",direct,high,"[""official S-1-1"", ""publisher ('康軒', 'G1', '上', 2)"", ""skill G1-02-01「直接比較長度-長短、寬窄」對應繩子長短排序""]",include,first_pass
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q05,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q001"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q002"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q003"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q004"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q005"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q006""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,1,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-1.jpg,二-2,由高到矮填入 1、2、3、4。（圖：①大樹（圓形樹冠、粗幹）②似椰子/酢漿草頂的細長植物③頂端如雪花的細長植物④蓬鬆矮樹叢）,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,1,裁圖確認①樹冠最高大，④矮樹叢最矮小；答案卷紅字標②=2、③=3、④=4，依排除法①=1，與原圖相對高度判斷一致（視覺高度排序題，非算式可獨立驗算）。,①=1、②=2、③=3、④=4,verified,visual_manual_required,康軒,G1,109,上,期中1,,,,康軒 G1 上 第2章 比長短,"[""S-1-1""]",[],"[""G1-02-05""]","[""G1-02-05""]",direct,high,"[""skill G1-02-05「用最高、最矮…描述物件」對應植物高矮排序""]",include,first_pass
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q06a,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q001"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q002"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q003"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q004"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q005"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q006""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,1,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-1.jpg,二-3-1,比較薄的打勾：兩本書，一本厚(角度立體)、一本薄(平放)。,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,1,原圖第2本書明顯畫得較扁薄，與答案卷勾選第2本一致。,第2本（較薄的書）,verified,visual_manual_required,康軒,G1,109,上,期中1,,,,康軒 G1 上 第2章 比長短,"[""S-1-1""]",[],"[""G1-02-04""]","[""G1-02-04""]",direct,high,"[""skill G1-02-04「直接比較長度-高矮、厚薄」對應書本厚薄""]",include,first_pass
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q06b,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q001"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q002"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q003"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q004"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q005"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q006""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,1,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-1.jpg,二-3-2,比較薄的打勾：兩疊漢堡，一疊層數多(厚)、一疊層數少(薄)。,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,1,原圖第2疊漢堡堆疊層數明顯較少，與答案卷勾選第2疊一致。,第2疊（層數較少、較薄）,verified,visual_manual_required,康軒,G1,109,上,期中1,,,,康軒 G1 上 第2章 比長短,"[""S-1-1""]",[],"[""G1-02-04""]","[""G1-02-04""]",direct,high,"[""同 q06a：漢堡堆疊厚薄比較""]",include,first_pass
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q07,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q001"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q002"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q003"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q004"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q005"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q006""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,1,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-1.jpg,三-1,數字合成分解圖：10 分解為 5 和 ( )。,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,1,10-5=5。與答案卷方框填入5一致。,5,verified,independent_calculation,康軒,G1,109,上,期中1,,,,康軒 G1 上 第4章 分與合,"[""N-1-2"", ""N-1-3""]",[],"[""G1-04-03""]","[""G1-04-03""]",direct,high,"[""10=5+5 數字分解，對應 G1-04-03「6至10各數的分與合」""]",include,first_pass
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q08,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q001"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q002"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q003"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q004"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q005"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q006""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,1,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-1.jpg,三-2,數字合成分解圖：7 分解為 ( ) 和 4。,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,1,7-4=3。與答案卷方框填入3一致。,3,verified,independent_calculation,康軒,G1,109,上,期中1,,,,康軒 G1 上 第4章 分與合,"[""N-1-2"", ""N-1-3""]",[],"[""G1-04-03""]","[""G1-04-03""]",direct,high,"[""7=3+4 數字分解，對應 G1-04-03""]",include,first_pass
G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒::ql-q09,"[""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q007"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q008"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q009"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q010"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q011"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q012"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q013"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q014"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q015"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q016"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q017"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q018"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q019"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q020"", ""G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒-q021""]",G1-康軒-109上-期中1-P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒,question_item,verified,source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/questions/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_題目卷.pdf,2,"[0, 0, 3307, 4677]",source_materials/tcool_math_g1_g4_康軒_翰林/_analysis/pilot/pages/G1-_-109_-_1-P04_R02_____1____109___1__/page-2.jpg,三-3,28-( )-26-( )-24-23（等差數列填空）,[],source_materials/tcool_math_g1_g4_康軒_翰林/grade-1/康軒/answers/P04_R02_寶山國小_彰化縣_1年級_數學_109上_期中1_康軒_答案卷.pdf,2,"等差-1：28,27,26,25,24,23。與答案卷「27、25」一致。",27、25,verified,independent_calculation,康軒,G1,109,上,期中1,,,,康軒 G1 上 第6章 30 以內的數,"[""N-1-1""]",[],"[""G1-08-05""]","[""G1-08-05""]",direct,high,"[""official N-1-1 一百以內的數"", ""publisher ('康軒', 'G1', '上', 6)"", ""28→23 倒數-1數列，對應 G1-08-05「運用倒數，求更小的數字」""]",include,first_pass
