index,page,row,school_info,question_source,answer_source,question_url,answer_url,question_path,answer_path
1,1,1,"安和國小 / 新北市 / 2年級 國語 / 113下 期末2 / 康軒",20002169b2215a2d0642.pdf,20002169a2215a2d0642.pdf,https://www.tcool.cc/d/q/20002169b2215a2d0642.pdf,https://www.tcool.cc/d/a/20002169a2215a2d0642.pdf,questions/Q_20002169b2215a2d0642.pdf,answers/A_20002169a2215a2d0642.pdf
2,1,7,"大墩國小 / 臺中市 / 2年級 國語 / 113下 期末2 / 康軒",20000629b22444198f2d.pdf,20000629a22444198f2d.pdf,https://www.tcool.cc/d/q/20000629b22444198f2d.pdf,https://www.tcool.cc/d/a/20000629a22444198f2d.pdf,questions/Q_20000629b22444198f2d.pdf,answers/A_20000629a22444198f2d.pdf
3,1,8,"安和國小 / 新北市 / 2年級 國語 / 113下 期中1 / 康軒",20002168b214762492b7.pdf,20002168a214762492b7.pdf,https://www.tcool.cc/d/q/20002168b214762492b7.pdf,https://www.tcool.cc/d/a/20002168a214762492b7.pdf,questions/Q_20002168b214762492b7.pdf,answers/A_20002168a214762492b7.pdf
4,1,9,"安和國小 / 新北市 / 2年級 國語 / 113上 期末2 / 康軒",20002167b21125cec39a.pdf,20002167a21125cec39a.pdf,https://www.tcool.cc/d/q/20002167b21125cec39a.pdf,https://www.tcool.cc/d/a/20002167a21125cec39a.pdf,questions/Q_20002167b21125cec39a.pdf,answers/A_20002167a21125cec39a.pdf
5,1,10,"安和國小 / 新北市 / 2年級 國語 / 113上 期中1 / 康軒",20002166b1247b45d6de.pdf,20002166a1247b45d6de.pdf,https://www.tcool.cc/d/q/20002166b1247b45d6de.pdf,https://www.tcool.cc/d/a/20002166a1247b45d6de.pdf,questions/Q_20002166b1247b45d6de.pdf,answers/A_20002166a1247b45d6de.pdf
6,2,7,"廣興國小 / 彰化縣 / 2年級 國語 / 113上 期中1 / 康軒",1002998672dca5fba4e3.pdf,1002998672dca5fba99e.pdf,https://www.tcool.cc/d/q/1002998672dca5fba4e3.pdf,https://www.tcool.cc/d/a/1002998672dca5fba99e.pdf,questions/Q_1002998672dca5fba4e3.pdf,answers/A_1002998672dca5fba99e.pdf
7,2,9,"舊館國小 / 彰化縣 / 2年級 國語 / 113上 期中1 / 康軒",1002932672b1eee5795f.pdf,1002932672b1eee57c4b.pdf,https://www.tcool.cc/d/q/1002932672b1eee5795f.pdf,https://www.tcool.cc/d/a/1002932672b1eee57c4b.pdf,questions/Q_1002932672b1eee5795f.pdf,answers/A_1002932672b1eee57c4b.pdf
8,3,1,"和順國小 / 臺南市 / 2年級 國語 / 112下 期末2 / 康軒",20000726b224331459ed.pdf,20000726a224331459ed.pdf,https://www.tcool.cc/d/q/20000726b224331459ed.pdf,https://www.tcool.cc/d/a/20000726a224331459ed.pdf,questions/Q_20000726b224331459ed.pdf,answers/A_20000726a224331459ed.pdf
9,3,3,"四維國小 / 臺中市 / 2年級 國語 / 112下 期末2 / 康軒",10048816695e58f6d5a1.pdf,10048816695e58f6d86a.pdf,https://www.tcool.cc/d/q/10048816695e58f6d5a1.pdf,https://www.tcool.cc/d/a/10048816695e58f6d86a.pdf,questions/Q_10048816695e58f6d5a1.pdf,answers/A_10048816695e58f6d86a.pdf
10,3,4,"太平國小 / 臺北市 / 2年級 國語 / 112下 期末2 / 康軒",1005165668cdc3987b34.pdf,1005165668cdc0aaafe3.pdf,https://www.tcool.cc/d/q/1005165668cdc3987b34.pdf,https://www.tcool.cc/d/a/1005165668cdc0aaafe3.pdf,questions/Q_1005165668cdc3987b34.pdf,answers/A_1005165668cdc0aaafe3.pdf
