index,page,row,school_info,question_source,answer_source,question_url,answer_url,question_path,answer_path
1,1,1,"桃子腳國小 / 新北市 / 2年級 國語 / 113下 期末2 / 翰林",20001264b12422ae732d.pdf,20001264a12422ae732d.pdf,https://www.tcool.cc/d/q/20001264b12422ae732d.pdf,https://www.tcool.cc/d/a/20001264a12422ae732d.pdf,questions/Q_20001264b12422ae732d.pdf,answers/A_20001264a12422ae732d.pdf
2,1,2,"桃子腳國小 / 新北市 / 2年級 國語 / 113上 期末2 / 翰林",20000025b2145ce1a55d.pdf,20000025a2145ce1a55d.pdf,https://www.tcool.cc/d/q/20000025b2145ce1a55d.pdf,https://www.tcool.cc/d/a/20000025a2145ce1a55d.pdf,questions/Q_20000025b2145ce1a55d.pdf,answers/A_20000025a2145ce1a55d.pdf
3,1,3,"桃子腳國小 / 新北市 / 2年級 國語 / 113上 期中1 / 翰林",20000001b211478424c1.pdf,20000001a211478424c1.pdf,https://www.tcool.cc/d/q/20000001b211478424c1.pdf,https://www.tcool.cc/d/a/20000001a211478424c1.pdf,questions/Q_20000001b211478424c1.pdf,answers/A_20000001a211478424c1.pdf
4,1,4,"內安國小 / 彰化縣 / 2年級 國語 / 113上 期中1 / 翰林",1002958672ae5c72583f.pdf,10029586729d7e2a4013.pdf,https://www.tcool.cc/d/q/1002958672ae5c72583f.pdf,https://www.tcool.cc/d/a/10029586729d7e2a4013.pdf,questions/Q_1002958672ae5c72583f.pdf,answers/A_10029586729d7e2a4013.pdf
5,1,7,"田中國小 / 彰化縣 / 2年級 國語 / 112下 期末2 / 翰林",10029556687630cd3cfb.pdf,1002955668c9cbce0434.pdf,https://www.tcool.cc/d/q/10029556687630cd3cfb.pdf,https://www.tcool.cc/d/a/1002955668c9cbce0434.pdf,questions/Q_10029556687630cd3cfb.pdf,answers/A_1002955668c9cbce0434.pdf
6,1,8,"草港國小 / 彰化縣 / 2年級 國語 / 112下 期末2 / 翰林",10029016682489904e74.pdf,1002901668248990510d.pdf,https://www.tcool.cc/d/q/10029016682489904e74.pdf,https://www.tcool.cc/d/a/1002901668248990510d.pdf,questions/Q_10029016682489904e74.pdf,answers/A_1002901668248990510d.pdf
7,1,9,"內安國小 / 彰化縣 / 2年級 國語 / 112下 期末2 / 翰林",1002958667501efcc05d.pdf,1002958667501efcc41a.pdf,https://www.tcool.cc/d/q/1002958667501efcc05d.pdf,https://www.tcool.cc/d/a/1002958667501efcc41a.pdf,questions/Q_1002958667501efcc05d.pdf,answers/A_1002958667501efcc41a.pdf
8,2,1,"內安國小 / 彰化縣 / 2年級 國語 / 112下 期中1 / 翰林",10029586620b3549efdb.pdf,10029586620b3549f41c.pdf,https://www.tcool.cc/d/q/10029586620b3549efdb.pdf,https://www.tcool.cc/d/a/10029586620b3549f41c.pdf,questions/Q_10029586620b3549efdb.pdf,answers/A_10029586620b3549f41c.pdf
9,2,2,"田中國小 / 彰化縣 / 2年級 國語 / 112上 期末2 / 翰林",100295565c1e0b9da580.pdf,100295565c04126b8520.pdf,https://www.tcool.cc/d/q/100295565c1e0b9da580.pdf,https://www.tcool.cc/d/a/100295565c04126b8520.pdf,questions/Q_100295565c1e0b9da580.pdf,answers/A_100295565c04126b8520.pdf
10,2,3,"內安國小 / 彰化縣 / 2年級 國語 / 112上 期末2 / 翰林",100295865a0d95d29404.pdf,100295865a0d95d297a0.pdf,https://www.tcool.cc/d/q/100295865a0d95d29404.pdf,https://www.tcool.cc/d/a/100295865a0d95d297a0.pdf,questions/Q_100295865a0d95d29404.pdf,answers/A_100295865a0d95d297a0.pdf
