index,page,row,school_info,question_source,answer_source,question_url,answer_url,question_path,answer_path
1,1,1,"安和國小 / 新北市 / 3年級 英語 / 113下 期末2 / 翰林",20002191b31406bfadd0.pdf,20002191a31406bfadd0.pdf,https://www.tcool.cc/d/q/20002191b31406bfadd0.pdf,https://www.tcool.cc/d/a/20002191a31406bfadd0.pdf,questions/Q_20002191b31406bfadd0.pdf,answers/A_20002191a31406bfadd0.pdf
2,1,2,"桃子腳國小 / 新北市 / 3年級 英語 / 113下 期末2 / 翰林",20001270b32472bdd2d7.pdf,20001270a32472bdd2d7.pdf,https://www.tcool.cc/d/q/20001270b32472bdd2d7.pdf,https://www.tcool.cc/d/a/20001270a32472bdd2d7.pdf,questions/Q_20001270b32472bdd2d7.pdf,answers/A_20001270a32472bdd2d7.pdf
3,1,6,"安和國小 / 新北市 / 3年級 英語 / 113上 期末2 / 翰林",20002190b3246f7b940a.pdf,20002190a3246f7b940a.pdf,https://www.tcool.cc/d/q/20002190b3246f7b940a.pdf,https://www.tcool.cc/d/a/20002190a3246f7b940a.pdf,questions/Q_20002190b3246f7b940a.pdf,answers/A_20002190a3246f7b940a.pdf
4,1,7,"桃子腳國小 / 新北市 / 3年級 英語 / 113上 期末2 / 翰林",20000029b31427f0963b.pdf,20000029a31427f0963b.pdf,https://www.tcool.cc/d/q/20000029b31427f0963b.pdf,https://www.tcool.cc/d/a/20000029a31427f0963b.pdf,questions/Q_20000029b31427f0963b.pdf,answers/A_20000029a31427f0963b.pdf
5,1,9,"桃子腳國小 / 新北市 / 3年級 英語 / 113上 期中1 / 翰林",20000005b311050ac28a.pdf,20000005a311050ac28a.pdf,https://www.tcool.cc/d/q/20000005b311050ac28a.pdf,https://www.tcool.cc/d/a/20000005a311050ac28a.pdf,questions/Q_20000005b311050ac28a.pdf,answers/A_20000005a311050ac28a.pdf
6,2,1,"和順國小 / 臺南市 / 3年級 英語 / 112下 期末2 / 翰林",20000730b324568eeb6b.pdf,20000730a324568eeb6b.pdf,https://www.tcool.cc/d/q/20000730b324568eeb6b.pdf,https://www.tcool.cc/d/a/20000730a324568eeb6b.pdf,questions/Q_20000730b324568eeb6b.pdf,answers/A_20000730a324568eeb6b.pdf
7,2,2,"內安國小 / 彰化縣 / 3年級 英語 / 112下 期末2 / 翰林",1002958669881cb58191.pdf,1002958669881cb588b8.pdf,https://www.tcool.cc/d/q/1002958669881cb58191.pdf,https://www.tcool.cc/d/a/1002958669881cb588b8.pdf,questions/Q_1002958669881cb58191.pdf,answers/A_1002958669881cb588b8.pdf
8,2,3,"四維國小 / 臺中市 / 3年級 英語 / 112下 期末2 / 翰林",100488166961e25a3256.pdf,100488166961e25a3534.pdf,https://www.tcool.cc/d/q/100488166961e25a3256.pdf,https://www.tcool.cc/d/a/100488166961e25a3534.pdf,questions/Q_100488166961e25a3256.pdf,answers/A_100488166961e25a3534.pdf
9,2,4,"和順國小 / 臺南市 / 3年級 英語 / 112下 期中1 / 翰林",20000706b3210e918bbf.pdf,20000706a3210e918bbf.pdf,https://www.tcool.cc/d/q/20000706b3210e918bbf.pdf,https://www.tcool.cc/d/a/20000706a3210e918bbf.pdf,questions/Q_20000706b3210e918bbf.pdf,answers/A_20000706a3210e918bbf.pdf
10,2,5,"四維國小 / 臺中市 / 3年級 英語 / 112下 期中1 / 翰林",10048816694d7767b06c.pdf,10048816694d7767b450.pdf,https://www.tcool.cc/d/q/10048816694d7767b06c.pdf,https://www.tcool.cc/d/a/10048816694d7767b450.pdf,questions/Q_10048816694d7767b06c.pdf,answers/A_10048816694d7767b450.pdf
11,2,6,"田中國小 / 彰化縣 / 3年級 英語 / 112下 期中1 / 翰林",10029556641d66b1da0c.pdf,10029556641aff8a14e4.pdf,https://www.tcool.cc/d/q/10029556641d66b1da0c.pdf,https://www.tcool.cc/d/a/10029556641aff8a14e4.pdf,questions/Q_10029556641d66b1da0c.pdf,answers/A_10029556641aff8a14e4.pdf
12,2,7,"內安國小 / 彰化縣 / 3年級 英語 / 112下 期中1 / 翰林",10029586627518f846ab.pdf,10029586627518f84a7e.pdf,https://www.tcool.cc/d/q/10029586627518f846ab.pdf,https://www.tcool.cc/d/a/10029586627518f84a7e.pdf,questions/Q_10029586627518f846ab.pdf,answers/A_10029586627518f84a7e.pdf
13,2,8,"和順國小 / 臺南市 / 3年級 英語 / 112上 期末2 / 翰林",20000682b3144aa7a0cc.pdf,20000682a3144aa7a0cc.pdf,https://www.tcool.cc/d/q/20000682b3144aa7a0cc.pdf,https://www.tcool.cc/d/a/20000682a3144aa7a0cc.pdf,questions/Q_20000682b3144aa7a0cc.pdf,answers/A_20000682a3144aa7a0cc.pdf
